GRB,T90,comments,RA,Dec,z,X,O,R,refs
090429B,5.5,Optically dark; faint IR afterglow. Very high-z?,02:40.0,+32:10:14.32,9.4,y,y,,1
90423,10.3,Ultra high-z. Most distant confirmed object in universe.,55:33.3,+18:08:57.8,8.2,y,y,y,16
120923A,27.2,Probable high-redshift burst.,15:10.8,+06:13:16.3,8,y,y,n,1
080913A,8,"Faint afterglow. Extremely high-z. ""Short"" in rest frame.",22:54.7,-25:07:46.2,6.7,y,y,,5
60116,35,Probably very high-z,38:46.3,-05:26:13.14,6.6,y,y,y,
140515A,23.4,"Very high redshift. IR, radio detections.",24:15.5,+15:06:16.6,6.32,y,y,y,2
50904,225,Very high redshift. Bright optical flash and extremely luminous afterglow. Long burst with extensive X-ray flaring.,54:50.9,+14:05:11.8,6.295,y,y,y,37
