GRB,T90,comments,RA,Dec,z,X,O,R,refs
60927,22.6,"Faint, red afterglow: very high-z. ROTSE detection at 16s.",58:12.0,+05:21:48.9,5.467,y,y,,2
131227A,18,Possible high-z GRB near galactic plane.,29:30.8,+28:52:58.81,5.3?,y,y,,
50814,65,V-band dropout: high-z or dusty host.,36:45.4,+46:20:21.60,5.3,y,y,,1
140304A,15.6,,02:34.3,+33:28:25.5,5.283,y,y,y,1
71025,109,Very long burst during full moon; complex early behavior seen in rapid ground response. Very red afterglow.,40:17.1,+31:46:42.87,5.2,y,y,,4
050502B,7,Giant (500x) X-ray flare. Red afterglow.,30:10.1,+16:59:46.5,5.2,y,y,,2
60522,69,Very high-z,31:44.8,+02:53:10.35,5.11,y,y,n,
160327A,28,Bright early afterglow. Possibly z~5?,46:48.5,+54:00:46.4,4.99?,y,y,,
111008A,63.46,High redshift.,01:48.2,-32:42:33.4,4.9898,y,y,y,2
140311A,71.4,High-redshift,57:13.3,+00:38:31.7,4.954,y,y,y,
060510B,276,High-z burst; image trigger.,56:29.2,+78:34:12.00,4.9,y,y,,
100302A,17.9,Image trigger. High redshift.,02:03.7,+74:35:24.5,4.813,y,y,,
100513A,84,Moderately high redshift.,18:26.7,+03:37:40.4,4.772,y,y,,
140518A,60.5,Faint afterglow; high redshift.,09:00.6,+42:25:05.9,4.707,y,y,,
140428A,17.42,"Faint, red afterglow; high redshift.",57:28.4,+28:23:06.28,4.7,y,y,,
100219A,18.8,High redshift burst with nearby low-z galaxy.,16:48.5,-12:34:00.2,4.6667,y,y,,3
90205,8.8,Very high redshift.,43:38.6,-27:51:10.7,4.6497,y,y,n,2
120401A,100,"Faint afterglow, possible g-dropout.",52:19.8,-17:38:08.5,4.5,y,,,
131,50,"Bright, long GRB with afterglow. Extremely high-z host galaxy in HST imaging.",6:13:31,-51:56:40,4.5,,y,,3
060223A,11,,40:49.6,-17:07:48.36,4.41,y,y,,
080916C,66,Very bright GRB. LAT detection above 1 GeV. Ultra-energetic.,59:23.3,-56:38:18.0,4.35,y,y,,12
80129,48,Galactic plane; huge extinction. Very fast early optical flare.,01:08.1,-07:50:46.6,4.349,y,y,,2
50505,60,High redshift; faint IR afterglow.,27:03.3,+30:16:24.6,4.27,y,y,,3
140614A,,High-z. Early multicolor observations.,24:40.7,-79:07:43.5,4.233,y,y,,
120712A,14.7,DLA at z~4; still detected with UVOT.,18:21.2,-20:02:01.8,4.1745,y,y,,
090516A,210,"Long, high-z burst. Long optical plateau.",13:02.6,-11:51:15.4,4.109,y,y,,
151112A,19.32,"MAXI detection. Faint, probably high-z afterglow.",08:12.8,-61:39:48.4,4.1,y,y,,
